18-08-2018 21:05:44.054 [main] INFO  c.r.user.controller.UserControllerIT.logStarting - Starting UserControllerIT on WKWGB2633442 with PID 14904 (started by vijmalav in D:\My_Work\Dev\Spring\STS\springboot-rest-apis\user-info-data-api-v2)
18-08-2018 21:05:44.148 [main] DEBUG c.r.user.controller.UserControllerIT.logStarting - Running with Spring Boot v2.0.3.RELEASE, Spring v5.0.7.RELEASE
18-08-2018 21:05:44.164 [main] INFO  c.r.user.controller.UserControllerIT.logStartupProfileInfo - No active profile set, falling back to default profiles: default
18-08-2018 21:05:44.195 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext.prepareRefresh - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2b30a42c: startup date [Sat Aug 18 21:05:44 BST 2018]; root of context hierarchy
18-08-2018 21:05:50.119 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory.registerBeanDefinition - Overriding bean definition for bean 'httpRequestHandlerAdapter' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration; factoryMethodName=httpRequestHandlerAdapter; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration$EnableWebMvcConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.data.rest.webmvc.config.RepositoryRestMvcConfiguration; factoryMethodName=httpRequestHandlerAdapter; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/data/rest/webmvc/config/RepositoryRestMvcConfiguration.class]]
18-08-2018 21:05:51.724 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6dab8b71] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
18-08-2018 21:05:53.299 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 0 (http)
18-08-2018 21:05:53.342 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
18-08-2018 21:05:53.342 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet Engine: Apache Tomcat/8.5.31
18-08-2018 21:05:53.373 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener.log - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jre1.8.0_181\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:/Program Files/Java/jre1.8.0_181/bin/server;C:/Program Files/Java/jre1.8.0_181/bin;C:/Program Files/Java/jre1.8.0_181/lib/amd64;C:\oraclexe\app\oracle\product\11.2.0\server\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Box\Box Edit\;;C:\Program Files\Microsoft VS Code\bin;C:\Program Files\Java\jdk1.8.0_181\bin;C:\Program Files\Git\cmd;D:\Software\Programming\Maven\apache-maven-3.3.9-bin\bin;C:\Program Files\nodejs\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Users\vijmalav\AppData\Local\Programs\Python\Python36\Scripts\;C:\Users\vijmalav\AppData\Local\Programs\Python\Python36\;C:\Users\vijmalav\AppData\Local\Microsoft\WindowsApps;C:\Users\vijmalav\AppData\Roaming\npm;D:\Software\Programming\IDE\STS-3.9.5.RELEASE-e4.8.0\sts-bundle\sts-3.9.5.RELEASE;;.]
18-08-2018 21:05:54.131 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
